BATCHSENDER,BATCHRECEIVER,XID,BATCHDATE,MSG_CODE,MSG_LEVEL,MSG_NAME,DESCRIPTION,ORGCODE,REFPOSITIONID
НСИ,OSGMU,04767f1a-e0fb-4f6e-9185-ca6c844c55c4,17.09.2018 16:07:18,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,b1f1d9ea-b241-4e2d-8487-9ad7ac26678d,17.09.2018 16:08:41,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,b1f1d9ea-b241-4e2d-8487-9ad7ac26678d,17.09.2018 16:08:41,,,,,,
НСИ,OSGMU,aa43c6c3-4070-448e-9a48-e0eefcf312fc,17.09.2018 16:10:34,,,,,,
НСИ,OSGMU,aa43c6c3-4070-448e-9a48-e0eefcf312fc,17.09.2018 16:10:34,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,292585be-db31-4a2a-887e-ca98d4a8a6cf,17.09.2018 16:11:39,,,,,,
НСИ,OSGMU,292585be-db31-4a2a-887e-ca98d4a8a6cf,17.09.2018 16:11:39,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,2978461e-3678-45eb-b470-fd5bff608ef4,17.09.2018 16:00:57,,,,,,
НСИ,OSGMU,2978461e-3678-45eb-b470-fd5bff608ef4,17.09.2018 16:00:57,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,0edcd5da-81e4-4982-b6bf-0e99a48039e9,17.09.2018 16:02:02,,,,,,
НСИ,OSGMU,0edcd5da-81e4-4982-b6bf-0e99a48039e9,17.09.2018 16:02:02,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,dca2fc49-3eb9-4189-b9f3-620db63cd7df,17.09.2018 16:03:59,,,,,,
НСИ,OSGMU,dca2fc49-3eb9-4189-b9f3-620db63cd7df,17.09.2018 16:03:59,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,166be387-5629-435f-b7a4-725a3b4ee74f,17.09.2018 16:07:35,,,,,,
НСИ,OSGMU,166be387-5629-435f-b7a4-725a3b4ee74f,17.09.2018 16:07:35,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,e4cfcb9b-a163-4ffb-8255-1c24f5c781be,17.09.2018 16:08:07,,,,,,
НСИ,OSGMU,e4cfcb9b-a163-4ffb-8255-1c24f5c781be,17.09.2018 16:08:07,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,8d467e07-8878-4d8a-b558-f28ccb3260de,17.09.2018 16:13:47,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,8d467e07-8878-4d8a-b558-f28ccb3260de,17.09.2018 16:13:47,,,,,,
НСИ,OSGMU,ff5fa8ef-4849-4bad-a085-89d90ef446ef,17.09.2018 16:14:53,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,ff5fa8ef-4849-4bad-a085-89d90ef446ef,17.09.2018 16:14:53,,,,,,
НСИ,OSGMU,ab8c12ca-3b76-4d3d-96b0-f1b8c7d9a8d2,17.09.2018 16:15:14,XVE,критичная,Ошибка валидации по схеме,"cvc-complex-type.2.4.a: Обнаружено недопустимое содержимое, начиная с элемента 'OGVPPOTypeCode'. Ожидалось одно из '{IsUchr, UchrOrgans, OrganAuths, OKVEDCodes, SignHeads, RBSCode, RBSName, KBKGlavaCode, KBKGlavaName, OKOGUCode, OKOGUName, OKPOCode, OrgBudgLevelCode}'.",001А0897,3395a000-0e8b-b7ec-0e05-3b518850a1dd
НСИ,OSGMU,867e17ff-48a0-4031-97dd-a54553d99a27,17.09.2018 16:15:46,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,867e17ff-48a0-4031-97dd-a54553d99a27,17.09.2018 16:15:46,,,,,,
НСИ,OSGMU,6508ae5d-2ef3-4d51-a57e-e4ed24f516ad,17.09.2018 16:16:17,XVE,критичная,Ошибка валидации по схеме,"cvc-complex-type.2.4.a: Обнаружено недопустимое содержимое, начиная с элемента 'OGVPPOTypeCode'. Ожидалось одно из '{IsUchr, UchrOrgans, OrganAuths, OKVEDCodes, SignHeads, RBSCode, RBSName, KBKGlavaCode, KBKGlavaName, OKOGUCode, OKOGUName, OKPOCode, OrgBudgLevelCode}'.",001А1475,5b5d9ab6-6a5b-4d25-b6e4-8cd6663779fe
НСИ,OSGMU,f0323687-5811-480f-b835-a962ac65f559,17.09.2018 16:16:49,,,,,,
НСИ,OSGMU,f0323687-5811-480f-b835-a962ac65f559,17.09.2018 16:16:49,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,b6d1bf77-13f0-4d4d-a4c4-7c69b854bb92,17.09.2018 16:17:22,XVE,критичная,Ошибка валидации по схеме,"cvc-complex-type.2.4.a: Обнаружено недопустимое содержимое, начиная с элемента 'OGVPPOTypeCode'. Ожидалось одно из '{IsUchr, UchrOrgans, OrganAuths, OKVEDCodes, SignHeads, RBSCode, RBSName, KBKGlavaCode, KBKGlavaName, OKOGUCode, OKOGUName, OKPOCode, OrgBudgLevelCode}'.",001А0742,16aa0acf-4c9d-42d8-b48f-16c0b8583acd
НСИ,OSGMU,bee17c6d-f5eb-4969-b832-2ed1e9336604,17.09.2018 16:17:54,XVE,критичная,Ошибка валидации по схеме,"cvc-complex-type.2.4.a: Обнаружено недопустимое содержимое, начиная с элемента 'OGVPPOTypeCode'. Ожидалось одно из '{IsUchr, UchrOrgans, OrganAuths, OKVEDCodes, SignHeads, RBSCode, RBSName, KBKGlavaCode, KBKGlavaName, OKOGUCode, OKOGUName, OKPOCode, OrgBudgLevelCode}'.",001А0913,24ff5c59-96ca-a05d-ae05-3b518850a294
НСИ,OSGMU,abc73a88-57dc-441f-a9fe-cf937bac87e9,17.09.2018 16:18:24,XVE,критичная,Ошибка валидации по схеме,"cvc-complex-type.2.4.a: Обнаружено недопустимое содержимое, начиная с элемента 'OGVPPOTypeCode'. Ожидалось одно из '{IsUchr, UchrOrgans, OrganAuths, OKVEDCodes, SignHeads, RBSCode, RBSName, KBKGlavaCode, KBKGlavaName, OKOGUCode, OKOGUName, OKPOCode, OrgBudgLevelCode}'.",001А0744,3334868d-d1d6-3598-3e05-3b518850a6fd
НСИ,OSGMU,fb06b5a1-4689-420b-87b5-8ebfc89efb5c,17.09.2018 16:18:55,XVE,критичная,Ошибка валидации по схеме,"cvc-complex-type.2.4.a: Обнаружено недопустимое содержимое, начиная с элемента 'OGVPPOTypeCode'. Ожидалось одно из '{UchrPPOCode, UchrPPOName, IsUchr, UchrOrgans, OrganAuths, OKVEDCodes, SignHeads, RBSCode, RBSName, KBKGlavaCode, KBKGlavaName, OKOGUCode, OKOGUName, OKPOCode, OrgBudgLevelCode}'.",001А0921,ef129bd7-d6b2-4133-872d-c15db9f4b7ad
НСИ,OSGMU,1ae761a2-4d98-4e8a-8a0a-30386beeaa08,17.09.2018 16:19:25,XVE,критичная,Ошибка валидации по схеме,"cvc-complex-type.2.4.a: Обнаружено недопустимое содержимое, начиная с элемента 'OGVPPOTypeCode'. Ожидалось одно из '{IsUchr, UchrOrgans, OrganAuths, OKVEDCodes, SignHeads, RBSCode, RBSName, KBKGlavaCode, KBKGlavaName, OKOGUCode, OKOGUName, OKPOCode, OrgBudgLevelCode}'.",00100999,42d4dda3-88e7-451d-ad4a-2719fb4257a8
